time,annotation1_chord,annotation2_chord,sps,vl,tbt,binary
0.0,C_MAJOR_inv0,C_MAJOR_inv0,0.0,0.0,0.0,0
0.5,C_MAJOR_inv0,C_MAJOR_inv0,0.0,0.0,0.0,0
0.5625,C_MAJOR_inv0,C_MAJOR_inv0,0.0,0.0,0.0,0
0.625,C_MAJOR_inv0,C_MAJOR_inv0,0.0,0.0,0.0,0
0.6875,C_MAJOR_inv0,C_MAJOR_inv0,0.0,0.0,0.0,0
0.75,C_MAJOR_inv0,C_MAJOR_inv0,0.0,0.0,0.0,0
0.875,C_MAJOR_inv0,C_MAJOR_inv0,0.0,0.0,0.0,0
1.0,G_MAJOR_inv0,G_MAJOR_inv0,0.0,0.0,0.0,0
1.25,G_MAJOR_inv0,G_MAJOR_inv0,0.0,0.0,0.0,0
2.0,G_MAJ_MIN7_inv0,G_MAJ_MIN7_inv0,0.0,0.0,0.0,0
2.5,G_MAJ_MIN7_inv0,G_MAJ_MIN7_inv0,0.0,0.0,0.0,0
2.5625,G_MAJ_MIN7_inv0,G_MAJ_MIN7_inv0,0.0,0.0,0.0,0
2.625,G_MAJ_MIN7_inv0,G_MAJ_MIN7_inv0,0.0,0.0,0.0,0
2.6875,G_MAJ_MIN7_inv0,G_MAJ_MIN7_inv0,0.0,0.0,0.0,0
2.75,G_MAJ_MIN7_inv0,G_MAJ_MIN7_inv0,0.0,0.0,0.0,0
2.875,G_MAJ_MIN7_inv0,G_MAJ_MIN7_inv0,0.0,0.0,0.0,0
3.0,C_MAJOR_inv0,C_MAJOR_inv0,0.0,0.0,0.0,0
3.25,C_MAJOR_inv0,C_MAJOR_inv0,0.0,0.0,0.0,0
4.0,C_MAJOR_inv0,C_MAJOR_inv0,0.0,0.0,0.0,0
4.25,C_MAJOR_inv0,C_MAJOR_inv0,0.0,0.0,0.0,0
4.5,G_MAJ_MIN7_inv2,G_MAJ_MIN7_inv0,0.16262696596486437,15.0,0.25,1
4.5625,G_MAJ_MIN7_inv2,G_MAJ_MIN7_inv0,0.16262696596486437,15.0,0.25,1
4.625,G_MAJ_MIN7_inv2,G_MAJ_MIN7_inv0,0.16262696596486437,15.0,0.25,1
