	gt_key	gt_chord	est_key	est_chord	duration	gt_chord_root	gt_chord_type	gt_chord_inv	est_chord_root	est_chord_type	est_chord_inv	root_correct	triad_correct	7th_correct	inv_correct	full_correct
0	A:KeyMode.MAJOR	A:M, inv:2	A:KeyMode.MAJOR	A:M, inv:0	1/8	9	ChordType.MAJOR	2	9	ChordType.MAJOR	0	True	True	True	False	False
1	A:KeyMode.MAJOR	A:M, inv:2	A:KeyMode.MAJOR	E:M, inv:0	1/4	9	ChordType.MAJOR	2	4	ChordType.MAJOR	0	False	False	False	False	False
2	A:KeyMode.MAJOR	A:M, inv:2	A:KeyMode.MAJOR	A:M, inv:0	1/8	9	ChordType.MAJOR	2	9	ChordType.MAJOR	0	True	True	True	False	False
3	A:KeyMode.MAJOR	A:M, inv:2	A:KeyMode.MAJOR	E:M, inv:0	1/4	9	ChordType.MAJOR	2	4	ChordType.MAJOR	0	False	False	False	False	False
4	A:KeyMode.MAJOR	A:M, inv:2	A:KeyMode.MAJOR	E:M, inv:0	1/8	9	ChordType.MAJOR	2	4	ChordType.MAJOR	0	False	False	False	False	False
5	A:KeyMode.MAJOR	A:M, inv:2	A:KeyMode.MAJOR	E:M, inv:0	1/4	9	ChordType.MAJOR	2	4	ChordType.MAJOR	0	False	False	False	False	False
6	A:KeyMode.MAJOR	A:M, inv:2	A:KeyMode.MAJOR	E:M, inv:0	1/8	9	ChordType.MAJOR	2	4	ChordType.MAJOR	0	False	False	False	False	False
7	A:KeyMode.MAJOR	A:M, inv:0	A:KeyMode.MAJOR	A:M, inv:0	1/4	9	ChordType.MAJOR	0	9	ChordType.MAJOR	0	True	True	True	True	True
8	A:KeyMode.MAJOR	A:M, inv:0	A:KeyMode.MAJOR	A:M, inv:0	1/16	9	ChordType.MAJOR	0	9	ChordType.MAJOR	0	True	True	True	True	True
9	A:KeyMode.MAJOR	A:M, inv:0	A:KeyMode.MAJOR	A:M, inv:0	1/16	9	ChordType.MAJOR	0	9	ChordType.MAJOR	0	True	True	True	True	True
10	A:KeyMode.MAJOR	A:M, inv:0	A:KeyMode.MAJOR	A:M, inv:0	3/16	9	ChordType.MAJOR	0	9	ChordType.MAJOR	0	True	True	True	True	True
11	A:KeyMode.MAJOR	A:M, inv:0	A:KeyMode.MAJOR	A:M, inv:0	1/16	9	ChordType.MAJOR	0	9	ChordType.MAJOR	0	True	True	True	True	True
12	A:KeyMode.MAJOR	A:M, inv:0	A:KeyMode.MAJOR	E:M, inv:0	1/8	9	ChordType.MAJOR	0	4	ChordType.MAJOR	0	False	False	False	False	False
13	A:KeyMode.MAJOR	A:M, inv:0	A:KeyMode.MAJOR	A:M, inv:0	1/4	9	ChordType.MAJOR	0	9	ChordType.MAJOR	0	True	True	True	True	True
14	A:KeyMode.MAJOR	A:M, inv:0	A:KeyMode.MAJOR	A:M, inv:0	1/8	9	ChordType.MAJOR	0	9	ChordType.MAJOR	0	True	True	True	True	True
15	A:KeyMode.MAJOR	A:M, inv:0	A:KeyMode.MAJOR	A:M, inv:0	1/4	9	ChordType.MAJOR	0	9	ChordType.MAJOR	0	True	True	True	True	True
16	A:KeyMode.MAJOR	A:M, inv:0	A:KeyMode.MAJOR	A:M, inv:0	1/8	9	ChordType.MAJOR	0	9	ChordType.MAJOR	0	True	True	True	True	True
17	A:KeyMode.MAJOR	F#/Gb:m, inv:0	A:KeyMode.MAJOR	E:M, inv:0	1/4	6	ChordType.MINOR	0	4	ChordType.MAJOR	0	False	False	False	False	False
18	A:KeyMode.MAJOR	F#/Gb:m, inv:0	b:KeyMode.MINOR	A#/Bb:o, inv:2	1/8	6	ChordType.MINOR	0	10	ChordType.DIMINISHED	2	False	False	False	False	False
19	b:KeyMode.MINOR	F#/Gb:M, inv:0	b:KeyMode.MINOR	A#/Bb:o, inv:2	1/4	6	ChordType.MAJOR	0	10	ChordType.DIMINISHED	2	False	False	False	False	False
20	b:KeyMode.MINOR	F#/Gb:M, inv:0	b:KeyMode.MINOR	B:m, inv:1	1/8	6	ChordType.MAJOR	0	11	ChordType.MINOR	1	False	False	False	False	False
21	A:KeyMode.MAJOR	B:m, inv:0	A:KeyMode.MAJOR	E:Mm7, inv:0	1/8	11	ChordType.MINOR	0	4	ChordType.MAJ_MIN7	0	False	False	False	False	False
22	A:KeyMode.MAJOR	B:m, inv:0	A:KeyMode.MAJOR	E:Mm7, inv:0	1/8	11	ChordType.MINOR	0	4	ChordType.MAJ_MIN7	0	False	False	False	False	False
23	A:KeyMode.MAJOR	B:m, inv:0	A:KeyMode.MAJOR	E:Mm7, inv:0	1/8	11	ChordType.MINOR	0	4	ChordType.MAJ_MIN7	0	False	False	False	False	False
24	A:KeyMode.MAJOR	E:Mm7, inv:0	A:KeyMode.MAJOR	E:Mm7, inv:0	1/4	4	ChordType.MAJ_MIN7	0	4	ChordType.MAJ_MIN7	0	True	True	True	True	True
25	A:KeyMode.MAJOR	E:Mm7, inv:0	A:KeyMode.MAJOR	E:Mm7, inv:0	1/8	4	ChordType.MAJ_MIN7	0	4	ChordType.MAJ_MIN7	0	True	True	True	True	True
26	A:KeyMode.MAJOR	A:M, inv:0	A:KeyMode.MAJOR	A:M, inv:0	1/4	9	ChordType.MAJOR	0	9	ChordType.MAJOR	0	True	True	True	True	True
27	A:KeyMode.MAJOR	A:M, inv:0	A:KeyMode.MAJOR	A:M, inv:0	1/8	9	ChordType.MAJOR	0	9	ChordType.MAJOR	0	True	True	True	True	True
28	A:KeyMode.MAJOR	A:M, inv:2	A:KeyMode.MAJOR	E:M, inv:0	1/4	9	ChordType.MAJOR	2	4	ChordType.MAJOR	0	False	False	False	False	False
29	A:KeyMode.MAJOR	A:M, inv:2	A:KeyMode.MAJOR	A:M, inv:0	1/8	9	ChordType.MAJOR	2	9	ChordType.MAJOR	0	True	True	True	False	False
30	A:KeyMode.MAJOR	A:M, inv:2	A:KeyMode.MAJOR	E:M, inv:0	1/4	9	ChordType.MAJOR	2	4	ChordType.MAJOR	0	False	False	False	False	False
31	A:KeyMode.MAJOR	A:M, inv:2	A:KeyMode.MAJOR	E:M, inv:0	1/8	9	ChordType.MAJOR	2	4	ChordType.MAJOR	0	False	False	False	False	False
32	A:KeyMode.MAJOR	A:M, inv:2	A:KeyMode.MAJOR	E:M, inv:0	1/4	9	ChordType.MAJOR	2	4	ChordType.MAJOR	0	False	False	False	False	False
33	A:KeyMode.MAJOR	A:M, inv:2	A:KeyMode.MAJOR	E:M, inv:0	1/8	9	ChordType.MAJOR	2	4	ChordType.MAJOR	0	False	False	False	False	False
34	A:KeyMode.MAJOR	A:M, inv:0	A:KeyMode.MAJOR	A:M, inv:0	3/16	9	ChordType.MAJOR	0	9	ChordType.MAJOR	0	True	True	True	True	True
35	A:KeyMode.MAJOR	A:M, inv:0	A:KeyMode.MAJOR	A:M, inv:0	1/16	9	ChordType.MAJOR	0	9	ChordType.MAJOR	0	True	True	True	True	True
36	A:KeyMode.MAJOR	A:M, inv:0	A:KeyMode.MAJOR	A:M, inv:0	1/8	9	ChordType.MAJOR	0	9	ChordType.MAJOR	0	True	True	True	True	True
37	A:KeyMode.MAJOR	A:M, inv:0	A:KeyMode.MAJOR	A:M, inv:0	1/8	9	ChordType.MAJOR	0	9	ChordType.MAJOR	0	True	True	True	True	True
38	A:KeyMode.MAJOR	A:M, inv:0	A:KeyMode.MAJOR	A:M, inv:0	1/8	9	ChordType.MAJOR	0	9	ChordType.MAJOR	0	True	True	True	True	True
39	A:KeyMode.MAJOR	A:M, inv:0	A:KeyMode.MAJOR	E:M, inv:0	1/8	9	ChordType.MAJOR	0	4	ChordType.MAJOR	0	False	False	False	False	False
40	A:KeyMode.MAJOR	A:M, inv:0	A:KeyMode.MAJOR	A:M, inv:0	1/4	9	ChordType.MAJOR	0	9	ChordType.MAJOR	0	True	True	True	True	True
41	A:KeyMode.MAJOR	A:M, inv:0	A:KeyMode.MAJOR	A:M, inv:0	1/8	9	ChordType.MAJOR	0	9	ChordType.MAJOR	0	True	True	True	True	True
42	A:KeyMode.MAJOR	A:M, inv:0	A:KeyMode.MAJOR	A:M, inv:0	1/4	9	ChordType.MAJOR	0	9	ChordType.MAJOR	0	True	True	True	True	True
43	A:KeyMode.MAJOR	A:M, inv:0	A:KeyMode.MAJOR	A:M, inv:0	1/8	9	ChordType.MAJOR	0	9	ChordType.MAJOR	0	True	True	True	True	True
44	A:KeyMode.MAJOR	F#/Gb:m, inv:0	b:KeyMode.MINOR	F#/Gb:Mm7, inv:0	1/4	6	ChordType.MINOR	0	6	ChordType.MAJ_MIN7	0	True	False	False	True	False
