chord_root_tpc	chord_root_midi	chord_type	chord_inversion	key_tonic_tpc	key_tonic_midi	key_mode	duration
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	5/16
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	1/16
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	9/8
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	5/16
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	1/16
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	3/8
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	5/16
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	1/16
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	3/8
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	3/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	5/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
5	11	ChordType.DIM7	2	0	0	KeyMode.MAJOR	9/16
5	11	ChordType.DIM7	2	0	0	KeyMode.MAJOR	1/16
5	11	ChordType.DIM7	2	0	0	KeyMode.MAJOR	1/16
5	11	ChordType.DIM7	2	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	9/8
-6	6	ChordType.MAJOR	0	-1	5	KeyMode.MINOR	5/16
-6	6	ChordType.MAJOR	0	-1	5	KeyMode.MINOR	1/16
-6	6	ChordType.MAJOR	0	-1	5	KeyMode.MINOR	9/8
-6	6	ChordType.MAJOR	0	-1	5	KeyMode.MINOR	5/16
-6	6	ChordType.MAJOR	0	-1	5	KeyMode.MINOR	1/16
-6	6	ChordType.MAJOR	0	-1	5	KeyMode.MINOR	3/8
-6	6	ChordType.MAJOR	0	-1	5	KeyMode.MINOR	5/16
-6	6	ChordType.MAJOR	0	-1	5	KeyMode.MINOR	1/16
-6	6	ChordType.MAJOR	0	-1	5	KeyMode.MINOR	3/8
-6	6	ChordType.MAJOR	0	-1	5	KeyMode.MINOR	3/8
-5	1	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	5/8
-5	1	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.DIM7	2	-5	1	KeyMode.MAJOR	9/16
0	0	ChordType.DIM7	2	-5	1	KeyMode.MAJOR	1/16
0	0	ChordType.DIM7	2	-5	1	KeyMode.MAJOR	1/16
0	0	ChordType.DIM7	2	-5	1	KeyMode.MAJOR	1/16
-5	1	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	3/2
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	5/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
5	11	ChordType.DIM7	2	0	0	KeyMode.MAJOR	9/16
5	11	ChordType.DIM7	2	0	0	KeyMode.MAJOR	1/16
5	11	ChordType.DIM7	2	0	0	KeyMode.MAJOR	1/16
5	11	ChordType.DIM7	2	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	3/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	0	-1	5	KeyMode.MINOR	3/4
4	4	ChordType.DIM7	1	-1	5	KeyMode.MINOR	5/8
4	4	ChordType.DIM7	1	-1	5	KeyMode.MINOR	1/8
-2	10	ChordType.MIN_MIN7	3	-1	5	KeyMode.MINOR	9/16
-2	10	ChordType.MIN_MIN7	3	-1	5	KeyMode.MINOR	1/16
-2	10	ChordType.MIN_MIN7	3	-1	5	KeyMode.MINOR	1/16
-2	10	ChordType.MIN_MIN7	3	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIM7	1	-1	5	KeyMode.MINOR	3/8
4	4	ChordType.DIM7	1	-1	5	KeyMode.MINOR	1/8
4	4	ChordType.DIM7	1	-1	5	KeyMode.MINOR	1/8
4	4	ChordType.DIM7	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	0	-1	5	KeyMode.MINOR	3/8
0	0	ChordType.MAJOR	0	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	0	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	0	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJ_MIN7	0	-1	5	KeyMode.MINOR	3/8
0	0	ChordType.MAJ_MIN7	0	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJ_MIN7	0	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJ_MIN7	0	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJ_MIN7	0	-1	5	KeyMode.MINOR	3/8
0	0	ChordType.MAJ_MIN7	0	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJ_MIN7	0	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJ_MIN7	0	-1	5	KeyMode.MINOR	1/8
4	4	ChordType.DIMINISHED	0	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIMINISHED	0	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIMINISHED	0	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIMINISHED	0	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIMINISHED	0	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIMINISHED	0	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIMINISHED	0	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIMINISHED	0	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIMINISHED	0	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIMINISHED	0	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIMINISHED	0	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIMINISHED	0	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIMINISHED	0	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIMINISHED	0	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIMINISHED	0	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIMINISHED	0	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIMINISHED	0	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIMINISHED	0	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIMINISHED	0	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIMINISHED	0	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIMINISHED	0	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIMINISHED	0	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIMINISHED	0	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIMINISHED	0	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIMINISHED	0	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIMINISHED	0	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIMINISHED	0	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIMINISHED	0	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIM7	1	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIM7	1	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIM7	1	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIM7	1	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIM7	1	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIM7	1	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIM7	1	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIM7	1	-1	5	KeyMode.MINOR	1/16
4	4	ChordType.DIM7	1	-1	5	KeyMode.MINOR	3/8
-5	1	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	3/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	9/8
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	5/16
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	1/16
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	1/8
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	1/8
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	1/8
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	1/8
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	1/8
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	1/8
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	1/8
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	1/8
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	1/8
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	1/8
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	1/8
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	1/8
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	9/8
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	5/16
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	1/16
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	3/8
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	5/16
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	1/16
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	3/8
-1	5	ChordType.MINOR	0	-1	5	KeyMode.MINOR	3/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	5/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
5	11	ChordType.DIM7	2	0	0	KeyMode.MAJOR	9/16
5	11	ChordType.DIM7	2	0	0	KeyMode.MAJOR	1/16
5	11	ChordType.DIM7	2	0	0	KeyMode.MAJOR	1/16
5	11	ChordType.DIM7	2	0	0	KeyMode.MAJOR	1/16
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	5/8
0	0	ChordType.MAJOR	1	-1	5	KeyMode.MINOR	1/8
-3	3	ChordType.MAJ_MIN7	0	-4	8	KeyMode.MAJOR	5/8
-3	3	ChordType.MAJ_MIN7	0	-4	8	KeyMode.MAJOR	1/16
-3	3	ChordType.MAJ_MIN7	0	-4	8	KeyMode.MAJOR	1/16
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-4	8	ChordType.MINOR	0	-4	8	KeyMode.MAJOR	1/8
-4	8	ChordType.MINOR	0	-4	8	KeyMode.MAJOR	1/8
-4	8	ChordType.MINOR	0	-4	8	KeyMode.MAJOR	1/8
-4	8	ChordType.MINOR	0	-4	8	KeyMode.MAJOR	1/8
-4	8	ChordType.MINOR	0	-4	8	KeyMode.MAJOR	1/8
-4	8	ChordType.MINOR	0	-4	8	KeyMode.MAJOR	1/8
-4	8	ChordType.MINOR	0	-4	8	KeyMode.MAJOR	1/8
-4	8	ChordType.MINOR	0	-4	8	KeyMode.MAJOR	1/8
-4	8	ChordType.MINOR	0	-4	8	KeyMode.MAJOR	1/8
-4	8	ChordType.MINOR	0	-4	8	KeyMode.MAJOR	1/8
-4	8	ChordType.MINOR	0	-4	8	KeyMode.MAJOR	1/8
-4	8	ChordType.MINOR	0	-4	8	KeyMode.MAJOR	1/8
-8	4	ChordType.MAJ_MAJ7	1	-4	8	KeyMode.MAJOR	1/8
-8	4	ChordType.MAJ_MAJ7	1	-4	8	KeyMode.MAJOR	1/8
-8	4	ChordType.MAJ_MAJ7	1	-4	8	KeyMode.MAJOR	1/8
-8	4	ChordType.MAJ_MAJ7	1	-4	8	KeyMode.MAJOR	1/8
-8	4	ChordType.MAJ_MAJ7	1	-4	8	KeyMode.MAJOR	1/8
-8	4	ChordType.MAJ_MAJ7	1	-4	8	KeyMode.MAJOR	1/8
-8	4	ChordType.MAJ_MAJ7	1	-4	8	KeyMode.MAJOR	1/8
-8	4	ChordType.MAJ_MAJ7	1	-4	8	KeyMode.MAJOR	1/8
-8	4	ChordType.MAJ_MAJ7	1	-4	8	KeyMode.MAJOR	1/8
-8	4	ChordType.MAJ_MAJ7	1	-4	8	KeyMode.MAJOR	1/8
-8	4	ChordType.MAJ_MAJ7	1	-4	8	KeyMode.MAJOR	1/8
-8	4	ChordType.MAJ_MAJ7	1	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/16
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/16
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
-3	3	ChordType.MAJOR	0	-4	8	KeyMode.MAJOR	1/8
