chord_root_tpc	chord_root_midi	chord_type	chord_inversion	key_tonic_tpc	key_tonic_midi	key_mode	duration
4	4	ChordType.MAJOR	0	4	4	KeyMode.MAJOR	1/16
4	4	ChordType.MAJOR	0	4	4	KeyMode.MAJOR	1/16
4	4	ChordType.MAJOR	0	4	4	KeyMode.MAJOR	1/16
4	4	ChordType.MAJOR	0	4	4	KeyMode.MAJOR	1/16
5	11	ChordType.MAJOR	1	4	4	KeyMode.MAJOR	1/16
5	11	ChordType.MAJOR	1	4	4	KeyMode.MAJOR	1/16
5	11	ChordType.MAJOR	1	4	4	KeyMode.MAJOR	1/16
5	11	ChordType.MAJOR	1	4	4	KeyMode.MAJOR	1/16
7	1	ChordType.MINOR	0	4	4	KeyMode.MAJOR	1/16
7	1	ChordType.MINOR	0	4	4	KeyMode.MAJOR	1/16
7	1	ChordType.MINOR	0	4	4	KeyMode.MAJOR	1/16
7	1	ChordType.MINOR	0	4	4	KeyMode.MAJOR	1/16
8	8	ChordType.MINOR	1	4	4	KeyMode.MAJOR	1/16
8	8	ChordType.MINOR	1	4	4	KeyMode.MAJOR	1/16
8	8	ChordType.MINOR	1	4	4	KeyMode.MAJOR	1/16
8	8	ChordType.MINOR	1	4	4	KeyMode.MAJOR	1/16
3	9	ChordType.MAJOR	0	4	4	KeyMode.MAJOR	1/16
3	9	ChordType.MAJOR	0	4	4	KeyMode.MAJOR	1/16
3	9	ChordType.MAJOR	0	4	4	KeyMode.MAJOR	1/16
3	9	ChordType.MAJOR	0	4	4	KeyMode.MAJOR	1/16
4	4	ChordType.MAJOR	1	4	4	KeyMode.MAJOR	1/16
4	4	ChordType.MAJOR	1	4	4	KeyMode.MAJOR	1/16
4	4	ChordType.MAJOR	1	4	4	KeyMode.MAJOR	1/16
4	4	ChordType.MAJOR	1	4	4	KeyMode.MAJOR	1/16
5	11	ChordType.MAJ_MIN7	0	4	4	KeyMode.MAJOR	1/16
5	11	ChordType.MAJ_MIN7	0	4	4	KeyMode.MAJOR	1/16
5	11	ChordType.MAJ_MIN7	0	4	4	KeyMode.MAJOR	1/16
5	11	ChordType.MAJ_MIN7	0	4	4	KeyMode.MAJOR	1/16
4	4	ChordType.MAJOR	0	4	4	KeyMode.MAJOR	1/16
4	4	ChordType.MAJOR	0	4	4	KeyMode.MAJOR	1/16
4	4	ChordType.MAJOR	0	4	4	KeyMode.MAJOR	1/16
4	4	ChordType.MAJOR	0	4	4	KeyMode.MAJOR	1/16
4	4	ChordType.MAJOR	0	4	4	KeyMode.MAJOR	1/16
4	4	ChordType.MAJOR	0	4	4	KeyMode.MAJOR	1/16
4	4	ChordType.MAJOR	0	4	4	KeyMode.MAJOR	1/16
4	4	ChordType.MAJOR	0	4	4	KeyMode.MAJOR	1/16
5	11	ChordType.MAJOR	1	4	4	KeyMode.MAJOR	1/16
5	11	ChordType.MAJOR	1	4	4	KeyMode.MAJOR	1/16
5	11	ChordType.MAJOR	1	4	4	KeyMode.MAJOR	1/16
5	11	ChordType.MAJOR	1	4	4	KeyMode.MAJOR	1/16
6	6	ChordType.MAJ_MIN7	2	5	11	KeyMode.MAJOR	1/16
6	6	ChordType.MAJ_MIN7	2	5	11	KeyMode.MAJOR	1/16
6	6	ChordType.MAJ_MIN7	2	5	11	KeyMode.MAJOR	1/16
6	6	ChordType.MAJ_MIN7	2	5	11	KeyMode.MAJOR	1/16
5	11	ChordType.MAJOR	0	5	11	KeyMode.MAJOR	1/16
5	11	ChordType.MAJOR	0	5	11	KeyMode.MAJOR	1/16
5	11	ChordType.MAJOR	0	5	11	KeyMode.MAJOR	1/16
5	11	ChordType.MAJOR	0	5	11	KeyMode.MAJOR	1/16
6	6	ChordType.MAJOR	0	5	11	KeyMode.MAJOR	1/16
6	6	ChordType.MAJOR	0	5	11	KeyMode.MAJOR	1/16
6	6	ChordType.MAJOR	0	5	11	KeyMode.MAJOR	1/16
6	6	ChordType.MAJOR	0	5	11	KeyMode.MAJOR	1/16
4	4	ChordType.MAJOR	1	5	11	KeyMode.MAJOR	1/16
4	4	ChordType.MAJOR	1	5	11	KeyMode.MAJOR	1/16
4	4	ChordType.MAJOR	1	5	11	KeyMode.MAJOR	1/16
4	4	ChordType.MAJOR	1	5	11	KeyMode.MAJOR	1/16
4	4	ChordType.MAJOR	0	5	11	KeyMode.MAJOR	1/16
4	4	ChordType.MAJOR	0	5	11	KeyMode.MAJOR	1/16
4	4	ChordType.MAJOR	0	5	11	KeyMode.MAJOR	1/16
4	4	ChordType.MAJOR	0	5	11	KeyMode.MAJOR	1/16
6	6	ChordType.MAJOR	0	5	11	KeyMode.MAJOR	1/16
6	6	ChordType.MAJOR	0	5	11	KeyMode.MAJOR	1/16
6	6	ChordType.MAJOR	0	5	11	KeyMode.MAJOR	1/16
6	6	ChordType.MAJOR	0	5	11	KeyMode.MAJOR	1/16
6	6	ChordType.MAJOR	0	5	11	KeyMode.MAJOR	1/16
6	6	ChordType.MAJOR	0	5	11	KeyMode.MAJOR	1/16
6	6	ChordType.MAJOR	0	5	11	KeyMode.MAJOR	1/16
6	6	ChordType.MAJOR	0	5	11	KeyMode.MAJOR	1/16
12	0	ChordType.DIM7	3	7	1	KeyMode.MINOR	1/8
12	0	ChordType.DIM7	2	7	1	KeyMode.MINOR	1/16
12	0	ChordType.DIM7	2	7	1	KeyMode.MINOR	1/16
12	0	ChordType.DIM7	2	7	1	KeyMode.MINOR	1/16
12	0	ChordType.DIM7	2	7	1	KeyMode.MINOR	1/16
12	0	ChordType.DIM7	0	7	1	KeyMode.MINOR	1/16
12	0	ChordType.DIM7	0	7	1	KeyMode.MINOR	1/16
7	1	ChordType.MINOR	0	7	1	KeyMode.MINOR	1/16
12	0	ChordType.DIM7	2	7	1	KeyMode.MINOR	1/16
7	1	ChordType.MINOR	1	7	1	KeyMode.MINOR	1/16
8	8	ChordType.MAJ_MIN7	2	7	1	KeyMode.MINOR	1/16
