chord_root_tpc	chord_root_midi	chord_type	chord_inversion	chord_suspension_tpc	chord_suspension_midi	key_tonic_tpc	key_tonic_midi	key_mode	duration	mc	mn_onset
0	0	ChordType.MAJOR	0			0	0	KeyMode.MAJOR	1/8	1	0
0	0	ChordType.MAJOR	0			0	0	KeyMode.MAJOR	1/8	1	1/8
0	0	ChordType.MAJOR	0			0	0	KeyMode.MAJOR	1/8	1	1/4
0	0	ChordType.MAJOR	0			0	0	KeyMode.MAJOR	1/8	1	3/8
0	0	ChordType.MAJOR	0			0	0	KeyMode.MAJOR	1/8	1	1/2
0	0	ChordType.MAJOR	0			0	0	KeyMode.MAJOR	1/8	1	5/8
0	0	ChordType.MAJOR	0			0	0	KeyMode.MAJOR	1/8	1	3/4
0	0	ChordType.MAJOR	0			0	0	KeyMode.MAJOR	1/8	1	7/8
0	0	ChordType.MAJOR	0			0	0	KeyMode.MAJOR	1/8	2	0
0	0	ChordType.MAJOR	0			0	0	KeyMode.MAJOR	1/8	2	1/8
0	0	ChordType.MAJOR	0			0	0	KeyMode.MAJOR	1/8	2	1/4
0	0	ChordType.MAJOR	0			0	0	KeyMode.MAJOR	1/8	2	3/8
0	0	ChordType.MAJOR	0			0	0	KeyMode.MAJOR	1/8	2	1/2
0	0	ChordType.MAJOR	0			0	0	KeyMode.MAJOR	1/8	2	5/8
2	2	ChordType.MAJ_MIN7	3			1	7	KeyMode.MAJOR	1/8	2	3/4
2	2	ChordType.MAJ_MIN7	3			1	7	KeyMode.MAJOR	1/8	2	7/8
1	7	ChordType.MAJOR	1			0	0	KeyMode.MAJOR	1/8	3	0
1	7	ChordType.MAJOR	1			0	0	KeyMode.MAJOR	1/8	3	1/8
1	7	ChordType.MAJOR	1			0	0	KeyMode.MAJOR	1/8	3	1/4
1	7	ChordType.MAJOR	1			0	0	KeyMode.MAJOR	1/16	3	3/8
1	7	ChordType.MAJOR	1			0	0	KeyMode.MAJOR	1/16	3	7/16
1	7	ChordType.MAJOR	1			0	0	KeyMode.MAJOR	1/8	3	1/2
1	7	ChordType.MAJOR	1			0	0	KeyMode.MAJOR	1/8	3	5/8
1	7	ChordType.MAJOR	1			0	0	KeyMode.MAJOR	1/8	3	3/4
1	7	ChordType.MAJOR	1			0	0	KeyMode.MAJOR	1/8	3	7/8
1	7	ChordType.MAJOR	1			0	0	KeyMode.MAJOR	1/8	4	0
1	7	ChordType.MAJOR	1			0	0	KeyMode.MAJOR	1/8	4	1/8
1	7	ChordType.MAJOR	1			0	0	KeyMode.MAJOR	1/16	4	1/4
1	7	ChordType.MAJOR	1			0	0	KeyMode.MAJOR	1/16	4	5/16
1	7	ChordType.MAJOR	1			0	0	KeyMode.MAJOR	1/16	4	3/8
1	7	ChordType.MAJOR	1			0	0	KeyMode.MAJOR	1/16	4	7/16
1	7	ChordType.MAJOR	1			0	0	KeyMode.MAJOR	1/8	4	1/2
1	7	ChordType.MAJOR	1			0	0	KeyMode.MAJOR	1/8	4	5/8
1	7	ChordType.MAJOR	1			0	0	KeyMode.MAJOR	1/8	4	3/4
1	7	ChordType.MAJOR	1			0	0	KeyMode.MAJOR	1/8	4	7/8
-2	10	ChordType.MAJOR	0			-1	5	KeyMode.MAJOR	1/8	5	0
-2	10	ChordType.MAJOR	0			-1	5	KeyMode.MAJOR	1/8	5	1/8
-2	10	ChordType.MAJOR	0			-1	5	KeyMode.MAJOR	1/8	5	1/4
-2	10	ChordType.MAJOR	0			-1	5	KeyMode.MAJOR	1/8	5	3/8
-2	10	ChordType.MAJOR	0			-1	5	KeyMode.MAJOR	1/8	5	1/2
-2	10	ChordType.MAJOR	0			-1	5	KeyMode.MAJOR	1/8	5	5/8
-2	10	ChordType.MAJOR	0			-1	5	KeyMode.MAJOR	1/8	5	3/4
-2	10	ChordType.MAJOR	0			-1	5	KeyMode.MAJOR	1/8	5	7/8
-2	10	ChordType.MAJOR	0			-1	5	KeyMode.MAJOR	1/8	6	0
-2	10	ChordType.MAJOR	0			-1	5	KeyMode.MAJOR	1/8	6	1/8
-2	10	ChordType.MAJOR	0			-1	5	KeyMode.MAJOR	1/8	6	1/4
-2	10	ChordType.MAJOR	0			-1	5	KeyMode.MAJOR	1/8	6	3/8
-2	10	ChordType.MAJOR	0			-1	5	KeyMode.MAJOR	1/8	6	1/2
