chord_root_tpc	chord_root_midi	chord_type	chord_inversion	chord_suspension_tpc	chord_suspension_midi	key_tonic_tpc	key_tonic_midi	key_mode	duration	mc	mn_onset
6	6	ChordType.DIM7	0			1	7	KeyMode.MAJOR	1/32	1	31/32
6	6	ChordType.DIM7	0			1	7	KeyMode.MAJOR	7/32	2	0
6	6	ChordType.DIM7	0			1	7	KeyMode.MAJOR	1/32	2	7/32
6	6	ChordType.DIM7	0			1	7	KeyMode.MAJOR	15/32	2	1/4
6	6	ChordType.DIM7	0			1	7	KeyMode.MAJOR	1/32	2	23/32
6	6	ChordType.DIM7	0			1	7	KeyMode.MAJOR	3/16	2	3/4
6	6	ChordType.DIM7	0			1	7	KeyMode.MAJOR	1/32	2	15/16
6	6	ChordType.DIM7	0			1	7	KeyMode.MAJOR	1/32	2	31/32
1	7	ChordType.MAJOR	0			0	0	KeyMode.MINOR	1/4	3	0
0	0	ChordType.MINOR	0			0	0	KeyMode.MINOR	1/4	3	1/4
1	7	ChordType.MAJOR	1			0	0	KeyMode.MINOR	15/32	3	1/2
5	11	ChordType.DIM7	0			0	0	KeyMode.MINOR	1/32	3	31/32
5	11	ChordType.DIM7	0			0	0	KeyMode.MINOR	7/32	4	0
5	11	ChordType.DIM7	0			0	0	KeyMode.MINOR	1/32	4	7/32
5	11	ChordType.DIM7	0			0	0	KeyMode.MINOR	15/32	4	1/4
5	11	ChordType.DIM7	0			0	0	KeyMode.MINOR	1/32	4	23/32
5	11	ChordType.DIM7	0			0	0	KeyMode.MINOR	3/16	4	3/4
5	11	ChordType.DIM7	0			0	0	KeyMode.MINOR	1/32	4	15/16
5	11	ChordType.DIM7	0			0	0	KeyMode.MINOR	1/32	4	31/32
4	4	ChordType.DIM7	2			-1	5	KeyMode.MINOR	1/4	5	0
-1	5	ChordType.MINOR	1			0	0	KeyMode.MINOR	1/4	5	1/4
0	0	ChordType.MAJOR	1			-1	5	KeyMode.MINOR	15/32	5	1/2
4	4	ChordType.DIM7	0			-1	5	KeyMode.MINOR	1/32	5	31/32
4	4	ChordType.DIM7	0			-1	5	KeyMode.MINOR	7/32	6	0
-2	10	ChordType.MINOR	2			0	0	KeyMode.MINOR	1/32	6	7/32
-2	10	ChordType.MINOR	2			0	0	KeyMode.MINOR	15/32	6	1/4
-2	10	ChordType.MINOR	2			0	0	KeyMode.MINOR	1/32	6	23/32
-2	10	ChordType.MINOR	2			0	0	KeyMode.MINOR	3/16	6	3/4
-2	10	ChordType.MINOR	2			0	0	KeyMode.MINOR	1/32	6	15/16
