chord_root_tpc	chord_root_midi	chord_type	chord_inversion	chord_suspension_tpc	chord_suspension_midi	key_tonic_tpc	key_tonic_midi	key_mode	duration	mc	mn_onset
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/16	1	5/16
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/16	1	3/8
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/16	1	7/16
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/16	2	0
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/16	2	1/16
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/16	2	1/8
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/16	2	3/16
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/16	2	1/4
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/16	2	5/16
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/16	2	3/8
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/16	2	7/16
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/16	3	0
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/16	3	1/16
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/16	3	1/8
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/16	3	3/16
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/16	3	1/4
3	9	ChordType.MIN_MIN7	3			1	7	KeyMode.MAJOR	1/16	3	5/16
3	9	ChordType.MIN_MIN7	3			1	7	KeyMode.MAJOR	1/16	3	3/8
3	9	ChordType.MIN_MIN7	3			1	7	KeyMode.MAJOR	1/16	3	7/16
3	9	ChordType.MIN_MIN7	3			1	7	KeyMode.MAJOR	1/16	4	0
3	9	ChordType.MIN_MIN7	3			1	7	KeyMode.MAJOR	1/16	4	1/16
3	9	ChordType.MIN_MIN7	3			1	7	KeyMode.MAJOR	1/16	4	1/8
3	9	ChordType.MIN_MIN7	3			1	7	KeyMode.MAJOR	1/16	4	3/16
