chord_root_tpc	chord_root_midi	chord_type	chord_inversion	chord_suspension_tpc	chord_suspension_midi	key_tonic_tpc	key_tonic_midi	key_mode	duration	mc	mn_onset	label
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/2	1	0	G.I{
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/12	1	1/2	G.I{
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/12	1	7/12	G.I{
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/12	1	2/3	G.I{
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/12	1	3/4	G.I{
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/12	1	5/6	G.I{
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/12	1	11/12	G.I{
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/4	2	0	G.I{
1	7	ChordType.MAJOR	1			1	7	KeyMode.MAJOR	1/4	2	1/4	I6
6	6	ChordType.DIMINISHED	1			1	7	KeyMode.MAJOR	1/4	2	1/2	viio6
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/4	2	3/4	I
2	2	ChordType.MAJOR	1			1	7	KeyMode.MAJOR	1/4	3	0	V6
2	2	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/8	3	1/4	V
2	2	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/8	3	3/8	V
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/4	3	1/2	I
1	7	ChordType.MAJ_MIN7	3			0	0	KeyMode.MAJOR	1/8	3	3/4	V2/IV
1	7	ChordType.MAJ_MIN7	3			0	0	KeyMode.MAJOR	1/8	3	7/8	V2/IV
0	0	ChordType.MAJOR	1	0:2	0:2	1	7	KeyMode.MAJOR	1/4	4	0	IV6(2)
6	6	ChordType.DIMINISHED	0			1	7	KeyMode.MAJOR	1/4	4	1/4	viio
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/8	4	1/2	I|IAC}
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/8	4	5/8	I|IAC}
1	7	ChordType.MAJOR	0			1	7	KeyMode.MAJOR	1/8	4	3/4	I|IAC}
