root,stft,stft filtered,stft peak,cqt,vqt,mel
0,0.27602130718440654,0.30926782589939006,0.3256966870960295,0.3279109923043855,0.3201113705889628,0.34741265989937964
1,0.3329862462833243,0.39539698706527304,0.45221287638950425,0.400078234355542,0.34966977120732945,0.32586856495335126
2,0.7155976864115716,0.7909378283258535,0.9645458153145814,0.9355727154876943,0.9079419637974742,0.8905733510683643
3,0.7842704476378977,0.8496001018527171,0.9786441979917474,0.9801572959678394,0.9263471589963399,0.9520830262356812
4,0.32038275482194556,0.3215918160219776,0.31657057673410127,0.3618912473589071,0.3647397316311234,0.3631162795709838
5,0.37132985054440837,0.4022228174128324,0.4268912554488702,0.447367026881206,0.43147688451573674,0.3189569837173747
6,0.8151005402991048,0.8740700983205478,0.9840278794515542,0.9841435036082851,0.9517773103870747,0.9426739265433662
7,0.6859080323031623,0.7095583332515334,0.715820593549241,0.7258749846761982,0.7265308386252145,0.7613520106191223
8,0.7916940853066818,0.8376204060319202,0.9415139292486017,0.9488614656116606,0.9321731991301199,0.9152663940212059
9,0.12438097518076174,0.12603862188162585,0.1283901250996714,0.1356152861468215,0.1311225391613262,0.08762982087498394
10,0.836811236238165,0.8571502778662954,0.9728680572124409,0.9488389899835785,0.9357302346656429,0.956081904942505
11,0.8388886170435709,0.8683667362607768,0.9454667543751718,0.9310168303411717,0.9256302659552499,0.9276498321766231
