time,annotation1_chord,annotation2_chord,sps,vl,tbt,binary
0.0,A_MAJOR_inv1,A_MAJOR_inv1,0.0,0.0,0.0,0
0.5,A_MAJOR_inv1,A_MAJOR_inv1,0.0,0.0,0.0,0
0.75,A_MAJOR_inv1,A_MAJOR_inv1,0.0,0.0,0.0,0
1.0,A_MAJOR_inv1,A_MAJOR_inv1,0.0,0.0,0.0,0
1.75,A_MAJ_MIN7_inv1,A_MAJ_MIN7_inv1,0.0,0.0,0.0,0
1.875,A_MAJ_MIN7_inv1,A_MAJ_MIN7_inv1,0.0,0.0,0.0,0
2.0,D_MINOR_inv0,D_MINOR_inv0,0.0,0.0,0.0,0
2.125,D_MINOR_inv0,D_MINOR_inv0,0.0,0.0,0.0,0
2.25,A_MAJOR_inv2,A_MAJOR_inv2,0.0,0.0,0.0,0
2.375,A_MAJOR_inv2,A_MAJOR_inv2,0.0,0.0,0.0,0
2.5,D_MINOR_inv1,D_MINOR_inv1,0.0,0.0,0.0,0
2.625,D_MINOR_inv1,D_MINOR_inv1,0.0,0.0,0.0,0
2.75,A_MAJ_MIN7_inv1,A_MAJ_MIN7_inv1,0.0,0.0,0.0,0
2.875,A_MAJ_MIN7_inv1,A_MAJ_MIN7_inv1,0.0,0.0,0.0,0
3.0,D_MINOR_inv0,D_MINOR_inv0,0.0,0.0,0.0,0
3.125,D_MINOR_inv0,D_MINOR_inv0,0.0,0.0,0.0,0
3.25,A_MAJOR_inv2,A_MAJOR_inv2,0.0,0.0,0.0,0
3.375,A_MAJOR_inv2,A_MAJOR_inv2,0.0,0.0,0.0,0
3.5,D_MINOR_inv1,D_MINOR_inv1,0.0,0.0,0.0,0
3.625,D_MINOR_inv1,D_MINOR_inv1,0.0,0.0,0.0,0
3.75,D_MAJ_MIN7_inv1,D_MAJ_MIN7_inv1,0.0,0.0,0.0,0
3.875,D_MAJ_MIN7_inv1,D_MAJ_MIN7_inv1,0.0,0.0,0.0,0
4.0,G_MINOR_inv0,G_MINOR_inv0,0.0,0.0,0.0,0
4.125,G_MINOR_inv0,G_MINOR_inv0,0.0,0.0,0.0,0
